hash,"first_seen","hash_type",source,"vt_enrichment_status","vt_file_size","vt_file_type","vt_first_submission","vt_harmless","vt_last_analysis","vt_last_updated","vt_malicious","vt_md5","vt_names","vt_reputation","vt_sha1","vt_sha256","vt_suggested_threat_label","vt_suspicious","vt_tags","vt_times_submitted","vt_undetected"
00000000000000000000000000000001,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000002,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000003,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000004,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000005,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000006,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000007,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000008,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000009,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
0000000000000000000000000000000a,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
0000000000000000000000000000000b,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
0000000000000000000000000000000c,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
0000000000000000000000000000000d,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
0000000000000000000000000000000e,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
0000000000000000000000000000000f,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000010,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000011,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000012,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000013,"2025-10-13 18:09:47",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000014,"2025-10-13 18:09:47",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
06462689e9024266067ee7dc2c0406bf6e9f39daa4fbac39389914fede1e3fd7,"2025-10-13 15:09:18",sha256,malwarebazaar,success,140930,ELF,1760354028,0,1760354028,"2025-10-13T15:09:18.580679",31,a5eaca5513a0f94c9d490ded19be499d,"jeho0a4.exe;rsyslogd.elf","-11",f3422dd69833671959798bbdee7b0c8d68d38527,06462689e9024266067ee7dc2c0406bf6e9f39daa4fbac39389914fede1e3fd7,"trojan.gafgyt/ddos",0,"elf;spreader",1,33
0c96862353590cd3f0c1a9fad4ed0789c1bdfd2b8c05a2be63a3935c1e71d729,"2025-10-13 15:11:48",sha256,malwarebazaar,success,136336,ELF,1760354110,0,1760354110,"2025-10-13T15:11:48.383773",34,13d87df2b3a5d950dc79e0eaef9f95eb,,0,9f0b54cc146c74c372abb4e4987fa998e509ec2a,0c96862353590cd3f0c1a9fad4ed0789c1bdfd2b8c05a2be63a3935c1e71d729,"trojan.gafgyt/ddos",0,"64bits;elf;sets-process-name;detect-debug-environment;service-scan;checks-cpu-name",1,31
0d690abd14eaca90bbb04308b01ee29a04524a499813b2e871a91dd6f025720e,"2025-10-13 15:09:45",sha256,malwarebazaar,success,2447,"Shell script",1760302356,0,1760302356,"2025-10-13T15:09:45.449577",29,a31b78eb232b0b21e12dfb23e4a702e1,62952,"-11",b8d6eb4391a3308825494d442cbf3a2f0d42d6ac,0d690abd14eaca90bbb04308b01ee29a04524a499813b2e871a91dd6f025720e,"downloader.medusa/shell",0,"shell;sets-process-name;self-delete;detect-debug-environment;cve-1999-0009;exploit",1,33
1bfa5f6361f7f78705df33f80dc08cb10a62423cdb1f4c07f536da18e20ade75,"2025-10-13 15:11:22",sha256,malwarebazaar,success,138177,ELF,1760351027,0,1760351027,"2025-10-13T15:11:22.111250",31,c224efebdc7bdfa6184f65884a7420a6,"vumim2.exe;katrina.elf","-11",35b1fc25dc38a3b9d576b625bc354b59791c4f49,1bfa5f6361f7f78705df33f80dc08cb10a62423cdb1f4c07f536da18e20ade75,"trojan.gafgyt/ddos",0,"elf;corrupted",1,31
1cec26b63cffcd588d02bd9a224c9491e9f784ea4379444d46a8d6290047f3b0,"2025-10-13 15:13:07",sha256,malwarebazaar,"http_error_22",,,,,,"2025-10-13T15:13:07.279302",,,,,,,,,,,
32ba502496ad2c91dff293fbf55aafcd28a45bd8227e8e67fd8b589051c4fd32,"2025-10-13 15:11:13",sha256,malwarebazaar,success,190366,ELF,1760351195,0,1760351195,"2025-10-13T15:11:13.416783",32,701f0fda4564862ff18ffe3a37ef57cf,"32ba502496ad2c91dff293fbf55aafcd28a45bd8227e8e67fd8b589051c4fd32.elf;2i3wlxe.exe;sshd.elf","-11",d829322a3d4e56b2a25b7c0e01ab586ad66392bd,32ba502496ad2c91dff293fbf55aafcd28a45bd8227e8e67fd8b589051c4fd32,"trojan.gafgyt/ddos",0,"elf;spreader",1,32
358fecd96d23e8f3d7d7f6a2485bb8ff8e9b71376de551184789e97e7d74bc14,"2025-10-13 15:10:29",sha256,malwarebazaar,success,114280,ELF,1760352521,0,1760352521,"2025-10-13T15:10:29.302110",27,0fa2219a5d919c6b0b958bfb057b8400,"ox94n.exe;nwfaiehg4ewijfgriehgirehaughrarg.mips.elf","-11",0653f13b7a05b36d5a4d553a6c92a3451e3b779a,358fecd96d23e8f3d7d7f6a2485bb8ff8e9b71376de551184789e97e7d74bc14,"trojan.mirai",0,elf,1,37
3f7b29762d7a7245cfe3836fdb0599f9744ac9d34bd184b5a459f0c3f5b3200c,"2025-10-13 15:12:32",sha256,malwarebazaar,"http_error_22",,,,,,"2025-10-13T15:12:32.391524",,,,,,,,,,,
42d1042134ebd097d95bb4bc184251d0159b6d361e4d11b31ed324c6fc8cddba,"2025-10-13 15:13:24",sha256,malwarebazaar,"http_error_22",,,,,,"2025-10-13T15:13:24.988085",,,,,,,,,,,
4346b39386eacf97601ebb6832833d4d672cc465291d06d47fb0a0427109617b,"2025-10-13 15:11:30",sha256,malwarebazaar,"http_error_22",,,,,,"2025-10-13T15:11:30.808883",,,,,,,,,,,
44d88612fea8a8f36de82e1278abb02f,"2024-01-01 00:00:00",,,,,executable,,,,,40,,,,,,"EICAR-Test-File",,"test;simulation;benign",,
4582be51967f3d43ffe57cb8964ff05ada8498748168fbb01271ab66b27d4e03,"2025-10-13 15:10:46",sha256,malwarebazaar,success,3374080,"Win32 EXE",1628627596,0,1760351335,"2025-10-13T15:10:46.896290",53,4b239e2d75809bdec211293cc3f7fe52,"minehax.exe;4582be51967f3d43ffe57cb8964ff05ada8498748168fbb01271ab66b27d4e03.exe;DOC.exe","-2",7479dd73ecd7e6151c3663990c76d854348f17c9,4582be51967f3d43ffe57cb8964ff05ada8498748168fbb01271ab66b27d4e03,"trojan.strictor/cryptear",0,"long-sleeps;spreader;themida;detect-debug-environment;peexe",3,19
4ec85c6dabf928a8668e15cdb7ebf1d96d084f6ca86055ee7fa1f456b2345a9e,,,,,,ELF,,,,,33,,,,,,"trojan.gafgyt/ddos",,,1,
56837963ab6758ee1ffd6735189005083e9de2e56aa8f96a1998473f675a2503,"2025-10-13 15:09:27",sha256,malwarebazaar,success,43712,ELF,1760354177,0,1760355453,"2025-10-13T15:09:27.286052",24,064436760f06d34eef5ea323ec5af575,"3yi9q.exe;7645;nwfaiehg4ewijfgriehgirehaughrarg.arm6.elf","-12",c03e8024a7df2a1b6abf677cb891637aeafc06f3,56837963ab6758ee1ffd6735189005083e9de2e56aa8f96a1998473f675a2503,"trojan.mirai",0,"elf;arm;detect-debug-environment;upx",2,40
68b1ebb95219866cd2686996d5ff4b32f42d4182a6ba97b4b01fdec72771a6d2,"2025-10-13 15:12:05",sha256,malwarebazaar,success,129940,ELF,1760350969,0,1760350969,"2025-10-13T15:12:05.914145",41,4bacd34dd4c57574445cb468836e081c,"boatnet.arm7.elf","-11",1490e10ad62d04ce62702851d5c93988dfd730c8,68b1ebb95219866cd2686996d5ff4b32f42d4182a6ba97b4b01fdec72771a6d2,"trojan.mirai/gafgyt",0,"elf;arm;spreader",1,23
6d84c6e7040ee30665c76ffed5a3a79b0eda32a477c4719878a06d8cc713c090,"2025-10-13 15:13:15",sha256,malwarebazaar,success,159402,ELF,1760350836,0,1760350836,"2025-10-13T15:13:15.976055",25,f917153ba20ba1763ebd148aa1ab9e18,"vzv0m5.exe;parm7.elf","-11",fc6d3b3bfee35d81faaa74d98111a2583584d5c5,6d84c6e7040ee30665c76ffed5a3a79b0eda32a477c4719878a06d8cc713c090,"trojan.mirai",0,"arm;spreader;elf",1,39
78a742adc7c84d21a789473f9e2273c85dd672301cbf93c31ea6a49ef525c400,"2025-10-13 15:09:54",sha256,malwarebazaar,success,102400,ELF,1722762003,0,1726868902,"2025-10-13T15:09:54.180251",14,f1dc7f00258099851f299085f9b28bdd,"78a742adc7c84d21a789473f9e2273c85dd672301cbf93c31ea6a49ef525c400.elf;f1dc7f00258099851f299085f9b28bdd.virus",0,f211dc33d3b4b2d19293e74948ae52d2d4e1b488,78a742adc7c84d21a789473f9e2273c85dd672301cbf93c31ea6a49ef525c400,"trojan.multiverze",0,"arm;elf",1,50
7a29188f4b6322eb972c4304f7c564a921b7548e1169bcc0d765e1dbe769811c,"2025-10-13 15:10:20",sha256,malwarebazaar,success,120330,ELF,1760352515,0,1760352515,"2025-10-13T15:10:20.497517",34,a3ad1a7d8b4468064766633eda33620d,"cron.elf;mp1gi7yop.exe","-11",ba00633cfab5b4aa64df88d331a5df256825986e,7a29188f4b6322eb972c4304f7c564a921b7548e1169bcc0d765e1dbe769811c,"trojan.gafgyt/ddos",0,"elf;sets-process-name;detect-debug-environment;service-scan;checks-cpu-name",1,31
829fad413d5103822bc05f8cbf726203d8a57be3da077e0deaa3a901b6be1efa,"2025-10-13 15:10:03",sha256,malwarebazaar,success,715264,"Win32 EXE",1760348335,0,1760353783,"2025-10-13T15:10:03.086502",35,9898b1c4dd84e3820c2a0dd239e204be,"829fad413d5103822bc05f8cbf726203d8a57be3da077e0deaa3a901b6be1efa.exe;beds.exe;Pedido202510130ESPA.pdf.exe;WindowsTime.exe;PEDIDO_2.EXE","-12",c865d8e2212b7f111d72f2b295061fe7f0a7baa3,829fad413d5103822bc05f8cbf726203d8a57be3da077e0deaa3a901b6be1efa,"trojan.loki/msil",0,"spreader;peexe;assembly",5,37
952da62aedc44c180629017279ab9ba663761bbad77f424c073d3c6d3bc8891b,"2025-10-13 15:12:49",sha256,malwarebazaar,success,92584,ELF,1760350030,0,1760350030,"2025-10-13T15:12:49.888823",33,af2c43a99122bd704fa4fb4767eb1cf9,"boatnet.spc;91sv17.exe;385938625","-11",c3e39b692c803a8e1fcb9270b79a1ec621f1d14d,952da62aedc44c180629017279ab9ba663761bbad77f424c073d3c6d3bc8891b,"trojan.mirai/gafgyt",0,elf,1,31
968836b7344981beed045eb89052316b87226ff625deeb0154c0ee0d8c01d1b2,"2025-10-13 15:12:41",sha256,malwarebazaar,"http_error_22",,,,,,"2025-10-13T15:12:41.216668",,,,,,,,,,,
9bcc82058a29dc03ef9618cee867bbe9967d068f20252f35a9a765d72be19c7e,"2025-10-13 15:12:23",sha256,malwarebazaar,success,114044,ELF,1760350943,0,1760350943,"2025-10-13T15:12:23.525435",34,8fbc8e86d8f718f05347c7a8c0fad4d1,"boatnet.mips.elf;nind9fg.exe","-11",f2bcc16055618593faceea4ed277472658567a71,9bcc82058a29dc03ef9618cee867bbe9967d068f20252f35a9a765d72be19c7e,"trojan.mirai/gafgyt",0,elf,1,31
9d26286ca5f6a48616201b47105f25838337bd4149ef3e22f6a642a1fbd4c40b,"2025-10-13 15:10:38",sha256,malwarebazaar,success,43164,ELF,1760355455,0,1760355455,"2025-10-13T15:10:38.177902",23,811d5c9c0c1c500088aef924dc5a7d67,"52x9804yr.exe;74075","-11",f9d049538a1939a699f348f9db804ef0f5224866,9d26286ca5f6a48616201b47105f25838337bd4149ef3e22f6a642a1fbd4c40b,"trojan.mirai",0,"upx;elf",1,41
9f18cf02e807843f344ecbf4f561d4d3031d55d1131b0cc776f408334f6ab682,"2025-10-13 15:09:09",sha256,malwarebazaar,success,97472,ELF,1760354226,0,1760354226,"2025-10-13T15:09:09.844967",24,05b881506cf22b1320c809aeccdc55ae,"i1vlyt.exe;nwfaiehg4ewijfgriehgirehaughrarg.arm6.elf","-11",ebc4cf3f8b8edb659f7e6a925534f3854a838079,9f18cf02e807843f344ecbf4f561d4d3031d55d1131b0cc776f408334f6ab682,"trojan.mirai",0,"elf;arm;detect-debug-environment",1,40
a4abc1985df103165bdd2557d7b75d082191cc437f75b84e14cc2cdd0f5df059,"2025-10-13 15:12:58",sha256,malwarebazaar,success,84212,ELF,1760350865,0,1760350865,"2025-10-13T15:12:58.594693",30,2ecbc3b4c1af7dad20b74966f2670261,"parm6.elf","-12",f6c6e56a67d4b4ae5c28b9eaf36d434f3d8eb0d5,a4abc1985df103165bdd2557d7b75d082191cc437f75b84e14cc2cdd0f5df059,"trojan.mirai",0,"elf;arm;detect-debug-environment",1,34
ae9a3e7dc4002050dc3c0c8798a66b7210913674a7c6965677d775ac1d6a51d8,"2025-10-13 15:09:36",sha256,malwarebazaar,success,124676,ELF,1760355451,0,1760355451,"2025-10-13T15:09:36.672567",24,c0e62d100975e030011f5f0e5badfac1,"5bjtht6q.exe;28596","-11",11ebc285db0e4dd5aad7c5b48270c38e06c51b4a,ae9a3e7dc4002050dc3c0c8798a66b7210913674a7c6965677d775ac1d6a51d8,"trojan.mirai",0,elf,1,39
bb06a9910b12469dd8e79490cf5a03c11e58287c034121f0d6de4f93a2dee04e,"2025-10-13 15:11:57",sha256,malwarebazaar,success,165116,ELF,1760350999,0,1760351638,"2025-10-13T15:11:57.153432",34,e9be546efeedebe94f8bd02f55b57ac5,"bb06a9910b12469dd8e79490cf5a03c11e58287c034121f0d6de4f93a2dee04e.elf;tyfi1m.exe;dbus-daemon.elf","-11",0b7c4b7834b693a368aa5bd41fae47e2a296423c,bb06a9910b12469dd8e79490cf5a03c11e58287c034121f0d6de4f93a2dee04e,"trojan.gafgyt/ddos",0,"elf;arm;sets-process-name;detect-debug-environment;service-scan;checks-cpu-name",2,30
cd670a67ca0fd0cc0df157712482efdf9dc58e40b58bff61261b228309fca5c6,"2025-10-13 15:12:14",sha256,malwarebazaar,success,42504,ELF,1760350475,0,1760350475,"2025-10-13T15:12:14.619272",28,1a88682a8fab934087b5a174f4b05bdd,"xrvlgo3ql.exe;cd670a67ca0fd0cc0df157712482efdf9dc58e40b58bff61261b228309fca5c6.elf","-11",3655a1eb4a13783980609c7031fcc024772238a3,cd670a67ca0fd0cc0df157712482efdf9dc58e40b58bff61261b228309fca5c6,"trojan.mirai",0,"arm;elf;detect-debug-environment",1,36
daa7b21cf38cd9f063e9c0ed3a75e079ec1cb42430e4a4919b09379b017cfb23,"2025-10-13 15:11:39",sha256,malwarebazaar,success,24884,HTML,1760346390,0,1760351056,"2025-10-13T15:11:39.609929",3,0c1c65e4a7e7e1e6e63453f4f5174664,"Archivos-bvT4zfrNkebeP5j.hta;Archivos-bvT4zfrNkebeP5j.HTA.crdownload (copy);Archivos-bvT4zfrNkebeP5j.HTA","-1",81a372a00484d44ac6e347caca724dac47f121ac,daa7b21cf38cd9f063e9c0ed3a75e079ec1cb42430e4a4919b09379b017cfb23,,0,"html;contains-embedded-js",2,58
f41db3a1c7e946fb4fce01fa0db2e756be125a621ff1ce31a289d635230cbc7f,"2025-10-13 15:10:11",sha256,malwarebazaar,success,81032,ELF,1760352954,0,1760355453,"2025-10-13T15:10:11.780862",25,0a630c3a1c9170635f16903fa309f9f1,"79307;g8sv1n.exe;nwfaiehg4ewijfgriehgirehaughrarg.sh4.elf","-12",66f30abea6aa44885675c40e441276f3a3b25ae1,f41db3a1c7e946fb4fce01fa0db2e756be125a621ff1ce31a289d635230cbc7f,"trojan.mirai",0,"spreader;elf",2,39
f778e3737ad3ef79706bcf35f18d38dc068b7e1530b75d82a60315cb6e1443cb,"2025-10-13 15:11:04",sha256,malwarebazaar,success,77212,ELF,1760302061,0,1760302061,"2025-10-13T15:11:04.666067",16,a539ec2e6b750336d226cb9e9b05578a,"f778e3737ad3ef79706bcf35f18d38dc068b7e1530b75d82a60315cb6e1443cb.elf;arm5;84964;o89zhz.exe","-11",2d4b645f7f577444049d30549ed5954662b86cfd,f778e3737ad3ef79706bcf35f18d38dc068b7e1530b75d82a60315cb6e1443cb,"trojan.mirai",0,"elf;arm;sets-process-name;detect-debug-environment",1,47
f85d0e5a44227717ee495b09ea81b79af918c4c29308c449c706a4990559817e,"2025-10-13 15:10:55",sha256,malwarebazaar,success,204288,"Win32 EXE",1626068803,0,1760351933,"2025-10-13T15:10:55.904056",45,09168c3e6157dd9b4350aa1bd308cb63,"f85d0e5a44227717ee495b09ea81b79af918c4c29308c449c706a4990559817e.exe;WannaMad.exe;_f85d0e5a44227717ee495b09ea81b79af918c4c29308c449c706a4990559817e.exe;test","-46",fb4554adb294d2d9ed402a53e7beb67edb703391,f85d0e5a44227717ee495b09ea81b79af918c4c29308c449c706a4990559817e,"trojan.msil/encoder",0,"direct-cpu-clock-access;detect-debug-environment;runtime-modules;peexe;assembly",4,27
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"2025-10-17 00:00:00",,"test_data",,,Executable,,,,,0,,,,,,"clean.file",,,,
a1b2c3d4e5f6789012345678901234567890123456789012345678901234567,"2025-10-17 00:00:00",,"test_data",,,Executable,,,,,15,,,,,,"suspicious.file",,,,
c4f5e6d7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5,"2025-10-17 00:00:00",,"test_data",,,Executable,,,,,42,,,,,,"trojan.win32.emotet",,,,
0000000000000000000000000000000000000000000000000000000000000000,"2025-10-17 00:00:00",,"test_data",,,Executable,,,,,5,,,,,,"unknown.threat",,,,
0000000000000000000000000000000000000000000000000000000000000000,"2025-10-17 00:00:00",,"test_data",,,Executable,,,,,5,,,,,,"unknown.threat",,,,
0000000000000000000000000000000000000000000000000000000000000000,"2025-10-17 00:00:00",,"test_data",,,Executable,,,,,5,,,,,,"unknown.threat",,,,
c4f5e6d7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5,"2025-10-17 00:00:00",,"test_data",,,Executable,,,,,42,,,,,,"trojan.win32.emotet",,,,
0000000000000000000000000000000000000000000000000000000000000000,"2025-10-17 00:00:00",,"test_data",,,Executable,,,,,5,,,,,,"unknown.threat",,,,
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"2025-10-17 00:00:00",,"test_data",,,Executable,,,,,0,,,,,,"clean.file",,,,
0000000000000000000000000000000000000000000000000000000000000000,"2025-10-17 00:00:00",,"test_data",,,Executable,,,,,5,,,,,,"unknown.threat",,,,
275a021bbfb6489e54d471899f7db9d1663fc695ec2fe2a2c4538aabf651fd0f,,,,,,Executable,,,,,55,,,,,,"eicar.test.file",,,,
44d88612fea8a8f36de82e1278abb02f,,,,,,,,,,,48,,,,,,"trojan.eicar",,,,
3395856ce81f2b7382dee72602f798b642f14140,,,,,,,,,,,42,,,,,,"backdoor.generic",,,,
